id,race_date,race_key,rank,pred_combo,n_combos,hit,payout,bet_amount,route,miwokuri,prerace_gami,trio_payout,gap23,trifecta_payout,gap12,gap34,gate_label,win_rank,ratio
826703,2026-04-01,20260401_42_04#7SS,RANK_7SS,"1=4-2,3,5,6,7 (score=6.43)",5,0,0,500,wt,False,,1210,,0,,,,,
826704,2026-05-09,20260509_11_11#7SS,RANK_7SS,"2=5-1,3,4,6,7 (score=6.21)",5,0,0,500,wt,False,,560,,0,,,,,
826705,2026-05-09,20260509_87_01#7SS,RANK_7SS,"5=6-1,2,3,4,7 (score=7.44)",5,1,580,500,wt,False,,580,,0,,,,,
826706,2026-04-01,20260401_27_07#7SS,RANK_7SS,"5=7-1,2,3,4,6 (score=7.49)",5,0,0,500,wt,False,,1010,,0,,,,,
826707,2026-04-01,20260401_27_08#7SS,RANK_7SS,"3=5-1,2,4,6,7 (score=7.79)",5,1,630,500,wt,False,,630,,0,,,,,
826708,2026-04-01,20260401_27_11#7SS,RANK_7SS,"1=7-2,3,4,5,6 (score=5.48)",5,1,490,500,wt,False,,490,,0,,,,,
826709,2026-04-01,20260401_27_12#7SS,RANK_7SS,"4=7-1,2,3,5,6 (score=5.76)",5,0,0,500,wt,False,,1240,,0,,,,,
826710,2026-04-01,20260401_56_06#7SS,RANK_7SS,"7=5-1,2,3,4,6 (score=5.22)",5,0,0,500,wt,False,,720,,0,,,,,
826711,2026-04-01,20260401_56_08#7SS,RANK_7SS,"4=7-1,2,3,5,6 (score=8.37)",5,1,390,500,wt,False,,390,,0,,,,,
826712,2026-04-01,20260401_56_10#7SS,RANK_7SS,"4=1-2,3,5,6,7 (score=4.86)",5,1,500,500,wt,False,,500,,0,,,,,
826713,2026-04-02,20260402_42_03#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=5.30)",5,0,0,500,wt,False,,6180,,0,,,,,
826714,2026-04-02,20260402_24_01#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=5.12)",5,0,0,500,wt,False,,400,,0,,,,,
826715,2026-05-09,20260509_87_02#7SS,RANK_7SS,"7=3-1,2,4,5,6 (score=6.98)",5,1,810,500,wt,False,,810,,0,,,,,
826716,2026-04-02,20260402_24_03#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=7.59)",5,0,0,500,wt,False,,600,,0,,,,,
826717,2026-04-02,20260402_24_04#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=5.02)",5,0,0,500,wt,False,,2480,,0,,,,,
826718,2026-04-02,20260402_24_07#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=5.46)",5,0,0,500,wt,False,,5000,,0,,,,,
